{SimaPro 9.3.0.3};;;;;;
{methods};;;;;;
{Date: 2/22/2023};;;;;;
{Time: 12:10:37 PM};;;;;;
{Project: 2022_mobilita};;;;;;
{CSV Format version: 9.0.0};;;;;;
{CSV separator: Semicolon};;;;;;
{Decimal separator: .};;;;;;
{Date separator: /};;;;;;
{Short date format: M/d/yyyy};;;;;;
{Export platform IDs: Yes};;;;;;
{Selection: Selection (1)};;;;;;
{Related objects (system descriptions, substances, units, etc.): Yes};;;;;;
{Include sub product stages and processes: No};;;;;;
{Open project: '2022_mobilita'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - system'};;;;;;
{Library 'Ecoinvent 3 - allocation, cut-off by classification - unit'};;;;;;
{Library 'Methods'};;;;;;
;;;;;;
Method;;;;;;
;;;;;;
Name;;;;;;
RSE CLCC e critical CLCC;;;;;;
;;;;;;
Version;;;;;;
Raw;(unspecified);Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore;007440-50-8;1.37E-03;kg;6477375F-7CF4-4EE0-8538-5B4546BBD173
Raw;(unspecified);Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore;007440-50-8;1.37E-03;kg;EAF7A439-C4E5-487B-B623-46149F841FE8
Raw;(unspecified);Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore;007440-50-8;1.37E-03;kg;00D43FB1-CFA5-485C-81FD-4587347EFBFF
Raw;(unspecified);Copper, Cu 6.8E-1%, in mixed ore;007440-50-8;1.37E-03;kg;AD9D2D21-D985-4E1B-AFB4-05ECB5CB95C8
Raw;(unspecified);Gallium;007440-55-3;1.46E-07;kg;BC474F9B-FBF1-4D65-8379-FFE3FB36FD28
Raw;(unspecified);Germanium;007440-56-4;6.52E-07;kg;87027833-1930-451C-BEE5-F4C375B59A4C
Raw;(unspecified);Gold;007440-57-5;5.20E+01;kg;28166B33-6933-45F4-9C46-3DEC9D4DB25D
Raw;(unspecified);Gold, Au 1.0E-7%, in mixed ore;007440-57-5;5.20E+01;kg;454057A8-E438-4CFF-A6E5-2F4065C10E1E
Raw;(unspecified);Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore;007440-57-5;5.20E+01;kg;53997E51-3005-4102-A379-C565AE19EF44
Raw;(unspecified);Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore;007440-57-5;5.20E+01;kg;15346094-B158-41FB-8F0C-ECE66CC9A29F
