comm;no_comm;um;comtrade_code;comext_code;usitc_code;ds_code;imf_code;quandl_code;eurostat_code;source;critical
Cobalt;442;kg;8105;;;LCOCSHC;PCOBA;ODA/PCOBA_USD;;imf;yes
Neodymium;899;kg;;;2805300020;SREMNDM;;;;usitc;yes
Vanadium;;kg;;81129291;;;;;;comext;yes
Vanadium ore;;kg;;2615906090;;;;;;comext;yes
Polonium;;kg;;284442;;;;;;comext;no
Rutile;;kg;;25059000;;;;;;comext;no
Nepheline;;kg;;25293000;;;;;;comext;no
Niobium;;kg;;26159000;;;;;;comext;yes
Neon;;kg;;28042990;;;;;;comext;no
Boron;;kg;;28045010;;;;;;comext;no
Lutetium;;kg;;28053030;;;;;;comext;yes
Erbium;;kg;;28053030;;;;;;comext;yes
Holmium;;kg;;28053030;;;;;;comext;yes
Terbium;;kg;;28053030;;;;;;comext;yes
Thulium;;kg;;28053030;;;;;;comext;yes
Ytterbium;;kg;;28053030;;;;;;comext;yes
Yttrium;;kg;;28053030;;;;;;comext;yes
Scandium;;kg;;28053040;;;;;;comext;yes
Sulfur dioxide;;kg;;28112905;;;;;;comext;no
Radium;;kg;;28444290;;;;;;comext;no
Actinium;;kg;;28444290;;;;;;comext;no
Ruthenium;;kg;;71104100;;;;;;comext;yes
Hafnium;;kg;;81123100;;;;;;comext;yes
Nickel;;kg;75;;;;;;;comtrade;no
Graphite;;kg;2504;;;;;;;comtrade;yes
Kaolin ore;;kg;2507;;;;;;;comtrade;no
Phosphate ore;;kg;2510;;;;;;;comtrade;yes
Phosphorus ore;;kg;2510;;;;;;;comtrade;yes
Phosphorus pentoxide;;kg;2510;;;;;;;comtrade;yes
Tripoli;;kg;2512;;;;;;;comtrade;no
Slate;;kg;2514;;;;;;;comtrade;no
Steatite;;kg;2526;;;;;;;comtrade;no
Manganese ore;;kg;2602;;;;;;;comtrade;no
Copper ore;;kg;2603;;;;;;;comtrade;no
Nickel ore;;kg;2604;;;;;;;comtrade;no
Tin ore;;kg;2609;;;;;;;comtrade;no
Iron ore;;kg;2610;;;;;;;comtrade;no
Tungsten ore;;kg;2611;;;;;;;comtrade;no
Molybdenite (Mo 0,24%);;kg;2613;;;;;;;comtrade;no
Molybdenum, 0.11% in sulfide, Mo 0.41% and Cu 0.36% in crude ore;;kg;2613;;;;;;;comtrade;no
Molybdenum ore;;kg;2613;;;;;;;comtrade;no
Coal, 18 MJ per kg;;kg;2702;;;;;;;comtrade;no
Titanium oxide;;kg;2823;;;;;;;comtrade;yes
Anodes (used);;kg;7402;;;;;;;comtrade;no
Tungsten;;kg;8101;;;;;;;comtrade;no
Magnesium;;kg;8104;;;;;;;comtrade;yes
Seed corn;;kg;100510;;;;;;;comtrade;no
Pyrite;;kg;250200;;;;;;;comtrade;no
Sand, quartz;;kg;250510;;;;;;;comtrade;no
Quartzite;;kg;250620;;;;;;;comtrade;no
Clay, fire;;kg;250830;;;;;;;comtrade;no
Kyanite;;kg;250850;;;;;;;comtrade;no
Apatite;;kg;251010;;;;;;;comtrade;no
Pumice;;kg;251310;;;;;;;comtrade;no
Garnet, industrial;;kg;251320;;;;;;;comtrade;no
Sand and gravel;;kg;251710;;;;;;;comtrade;no
Sand, gravel and stone, extracted for use;;kg;251710;;;;;;;comtrade;no
Calcium sulfate;;kg;252010;;;;;;;comtrade;no
Phonolite;;kg;252930;;;;;;;comtrade;no
Vermiculite;;kg;253010;;;;;;;comtrade;no
Cobalt ore;;kg;260500;;;;;;;comtrade;yes
Cobalt, Co 5.0E-2%, in mixed ore;;kg;260500;;;;;;;comtrade;yes
Bauxite;;kg;260600;;;;;;;comtrade;yes
Laterite;;kg;260600;;;;;;;comtrade;yes
Lead ore;;kg;260700;;;;;;;comtrade;no
Chromium ore;;kg;261000;;;;;;;comtrade;no
Uranium ore, 1.11 GJ per kg;;kg;261210;;;;;;;comtrade;no
Uranium oxide, 332 GJ per kg, in ore;;kg;261210;;;;;;;comtrade;no
Uranium, 2291 GJ per kg;;kg;261210;;;;;;;comtrade;no
Uranium, 451 GJ per kg;;kg;261210;;;;;;;comtrade;no
Uranium, 560 GJ per kg;;kg;261210;;;;;;;comtrade;no
Thorium;;kg;261220;;;;;;;comtrade;no
Antimony;;kg;261710;;;;;;;comtrade;yes
Coal, 26.4 MJ per kg;;kg;270112;;;;;;;comtrade;yes
Coal, 29.3 MJ per kg;;kg;270112;;;;;;;comtrade;yes
Coal, feedstock, 26.4 MJ per kg;;kg;270112;;;;;;;comtrade;yes
Coal, bituminous, 24.8 MJ per kg;;kg;270112;;;;;;;comtrade;yes
Chlorine;;kg;280110;;;;;;;comtrade;no
Carbon;;kg;280300;;;;;;;comtrade;no
Silicon;;kg;280461;;;;;;;comtrade;yes
Arsenic;;kg;280480;;;;;;;comtrade;no
Selenium;;kg;280490;;;;;;;comtrade;no
Sodium;;kg;280511;;;;;;;comtrade;no
Calcium;;kg;280512;;;;;;;comtrade;no
Mercury;;kg;280540;;;;;;;comtrade;no
Pyrolusite;;kg;282010;;;;;;;comtrade;no
Germanium;;kg;282560;;;;;;;comtrade;yes
Zirconia;;kg;282560;;;;;;;comtrade;no
Calcium chloride;;kg;282720;;;;;;;comtrade;no
Magnesium chloride;;kg;282731;;;;;;;comtrade;no
Sodium bromide;;kg;282751;;;;;;;comtrade;no
Trona;;kg;283620;;;;;;;comtrade;no
Sodium carbonate;;kg;283620;;;;;;;comtrade;no
Calcium carbonate;;kg;283650;;;;;;;comtrade;no
Zeolite;;kg;284210;;;;;;;comtrade;no
Potashsalt, crude;;kg;310490;;;;;;;comtrade;no
Diamond, industrial;;kg;680421;;;;;;;comtrade;no
Palladium;;kg;711021;;;;;;;comtrade;no
Rhodium;;kg;711031;;;;;;;comtrade;yes
